name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified,sens_score_avg,sens_accessibility_summary,category_tags,AI Sensory Accessibility Summary,Geocode Status,Review Status,Last Verified Age
St. Stephen's Park,st-stephen-s-park,Park,,,,42.94,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Alexander The Great Parkette,alexander-the-great-parkette,Park,,,,43.68,-79.35,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
White Oaks Optimist Park,white-oaks-optimist-park,Park,,,,42.94,-81.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Cascade Park,cascade-park,Park,,,,44.18,-77.41,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Twelfth Street Parkette,twelfth-street-parkette,Park,,,,43.59,-79.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Alban Community,alban-community,Community Centre,,,,46.10,-80.61,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Nicholas Wilson Park,nicholas-wilson-park,Park,,,,42.94,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hampton Park,hampton-park,Park,,,645 Parkview Road,45.39,-75.74,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Westminister Park,westminister-park,Park,,,,42.94,-81.21,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Wet 'n' Wild Toronto,wet-n-wild-toronto-brampton,Park,,Brampton,7855 Finch Avenue West,43.74,-79.64,https://www.wetnwildtoronto.com/,+1-416-369-9453,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Harrold Place Park,harrold-place-park,Park,,,1 Harrold Place,45.39,-75.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ron Watson Park,ron-watson-park,Park,,,,43.79,-79.29,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Emerson Park,emerson-park,Park,,,,43.41,-79.79,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Uxbridge Public Library - Main Branch,uxbridge-public-library-main-branch-uxbridge,Library,,Uxbridge,9 Toronto Street South,44.11,-79.12,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Midhurst Community Centre,midhurst-community-centre,Community Centre,,,,44.45,-79.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
St. Lawrence Park,st-lawrence-park,Park,,,,42.95,-81.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Smithwood Park,smithwood-park,Park,,,79 Smithwood Drive,43.64,-79.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Exeter Park,exeter-park-oshawa,Park,,Oshawa,896 Exeter Street,43.92,-78.86,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Breakey Parkette,breakey-parkette,Park,,,51 Heatherton Way,43.81,-79.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gibbons Park,gibbons-park,Park,,,,43.00,-81.27,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rebbetzin Judy Taub Memorial Parkette,rebbetzin-judy-taub-memorial-parkette,Park,,,71 Bevshire Circle,43.80,-79.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Harlandale Park,harlandale-park-north-york,Park,,North York,206 Harlandale Avenue,43.76,-79.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gibson House,gibson-house-toronto,Museum,,Toronto,5172 Yonge Street,43.77,-79.41,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,+1 416-395-7432,gibsonhouse@toronto.ca,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Longmore Park,longmore-park,Park,,,,43.78,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
London Public Library - Byron,london-public-library-byron,Library,,,1295 Commissioners Road West,42.96,-81.33,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dennis Park,dennis-park,Park,,,,44.04,-79.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Best Family Park,best-family-park-newmarket,Park,,Newmarket,819 Best Circle,44.03,-79.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
St. Lawrence Community Recreation Centre,st-lawrence-community-recreation-centre,Community Centre,,,,43.65,-79.36,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dundonald Park,dundonald-park,Park,,,516 Somerset Street West,45.41,-75.70,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Goldhawk Public Library and Neighborhood Centre,goldhawk-public-library-and-neighborhood-centre-toronto,Community Centre,,Toronto,295 Alton Towers Circle,43.82,-79.28,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rowntree Park,rowntree-park,Park,,,,42.97,-81.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dunkirk Place Park,dunkirk-place-park,Park,,,,42.96,-81.25,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rosel Park,rosel-park,Park,,,,42.96,-81.25,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Duchess Avenue Park,duchess-avenue-park,Park,,,,42.97,-81.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Belvedere Park,belvedere-park,Park,,,,42.98,-81.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
London Public Library - Landon,london-public-library-landon,Library,,,167 Westortley Road,42.97,-81.25,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Sutton Multi-Use Complex,sutton-multi-use-complex,Community Centre,,,,44.31,-79.37,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
The Green,the-green,Park,,,,42.97,-81.25,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Richard B. Harrison Park,richard-b-harrison-park,Park,,,,42.97,-81.24,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Glen Cairn Park (North),glen-cairn-park-north,Park,,,,42.97,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Shelborne Park South,shelborne-park-south,Park,,,,42.97,-81.20,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Meredith Park,meredith-park,Park,,,,42.98,-81.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Kichener-Waterloo Art Gallery,kichener-waterloo-art-gallery,Museum,,,101 Queen Street North,43.45,-80.48,https://kwag.ca/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Doughrty Crescent Park,doughrty-crescent-park,Park,,,,43.96,-79.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Arthur Wishart Library / West Wing,arthur-wishart-library-west-wing,Library,,,,46.50,-84.29,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Brock Street Parkette,brock-street-parkette,Park,,,36 Brant Street,43.44,-79.67,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
McLaughlin Library,mclaughlin-library,Library,,,,43.53,-80.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Green Hills Park,green-hills-park-york,Park,,York,1A Paulson Road,43.69,-79.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Eglinton Gilbert Parkette,eglinton-gilbert-parkette-york,Park,,York,504 Gilbert Avenue,43.69,-79.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Highland Creek Parkette,highland-creek-parkette,Park,,,,43.78,-79.17,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Trafalgar Park,trafalgar-park,Park,,,,43.44,-79.68,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jill Brown Park,jill-brown-park,Park,,,2730 Carling Avenue,45.36,-75.79,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Scholar's Green,scholar-s-green,Park,,,,43.59,-79.65,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Pottersburg Park,pottersburg-park,Park,,,,42.97,-81.18,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Luther Green,luther-green,Park,,,,43.45,-80.47,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Knollwood Park,knollwood-park-kitchener,Park,,Kitchener,175 Stirling Avenue North,43.45,-80.47,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Francis Green,francis-green,Park,,,,43.45,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Aldercrest Park,aldercrest-park,Park,,,,43.44,-79.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Danville Park,danville-park,Park,,,,43.63,-80.05,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Curinga Italian Canadian Sport Club,curinga-italian-canadian-sport-club,Park,,,,42.97,-81.16,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Clarke Road Park,clarke-road-park,Park,,,,42.98,-81.15,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Shadybrook Tot Lot,shadybrook-tot-lot,Park,,,,43.82,-79.12,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
TALLTREE PARK,talltree-park,Park,,,,42.99,-81.16,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Marie Baldwin Park,marie-baldwin-park,Park,,,,43.67,-79.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Toronto Public Library - Daniel G. Hill,toronto-public-library-daniel-g-hill-york,Library,,York,620 Jane Street,43.67,-79.49,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB055,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Morgan Park,morgan-park,Park,,,,43.88,-79.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ravenscliffe Parkette,ravenscliffe-parkette,Park,,,,43.68,-79.79,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Uniroyal-Goodrich Park,uniroyal-goodrich-park,Park,,,,43.46,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Domm Park,domm-park,Park,,,,43.37,-80.34,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dixie-Highway 407 Park,dixie-highway-407-park,Park,,,,43.69,-79.69,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Joseph Gibbons Park,joseph-gibbons-park,Park,,,,43.64,-79.89,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Danby Road Park,danby-road-park,Park,,,,43.63,-79.88,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Toronto Public Library - Long Branch,toronto-public-library-long-branch-etobicoke,Library,,Etobicoke,3500 Lake Shore Boulevard West,43.60,-79.53,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB061,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bill Whitbread Park,bill-whitbread-park,Park,,,,43.88,-79.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hampshire Heights Park,hampshire-heights-park,Park,,,231 Martin Grove Road,43.66,-79.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Sainte Marie among the Hurons,sainte-marie-among-the-hurons,Museum,,,16164 Highway 12,44.73,-79.84,https://saintemarieamongthehurons.on.ca/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Johnsview Park,johnsview-park-markham,Park,,Markham,27 Porterfield Crescent,43.82,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Brubacher Green,brubacher-green,Park,,,,43.45,-80.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
May Meadow Park,may-meadow-park,Park,,,,43.55,-79.76,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Avonlea Grove Park,avonlea-grove-park,Park,,,,43.58,-79.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Auburn Park,auburn-park,Park,,,,43.49,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Wintermeyer Park,wintermeyer-park,Park,,,,43.50,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ann Street Park,ann-street-park,Park,,,,42.99,-81.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Veterans' Park Greenway,veterans-park-greenway,Park,,,,43.44,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Muskoka Lakes Museum,muskoka-lakes-museum-port-carling,Museum,,Port Carling,100 Joseph Stree,45.12,-79.58,https://mlmuseum.com/,+17057655367,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Muskoka Lakes Library,muskoka-lakes-library-muskoka-lakes,Library,,Muskoka Lakes,,45.12,-79.58,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Banting House,banting-house-london,Museum,,London,442 Adelaide Street North,42.99,-81.23,https://bantinghousenhs.ca,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Boyle Park,boyle-park,Park,,,,43.00,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Mansion Green,mansion-green,Park,,,11 Gordon Avenue,43.46,-80.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
The Gallery,the-gallery,Museum,,,83 Schneider Avenue,43.45,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lips Park,lips-park-kitchener,Park,,Kitchener,187 Guelph Street,43.47,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Guelph Park,guelph-park-kitchener,Park,,Kitchener,800 Guelph Street,43.47,-80.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gary Hill Memorial Park,gary-hill-memorial-park,Park,,,,43.26,-79.88,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ravenscrest Park,ravenscrest-park,Park,,,305 Martin Grove Road,43.66,-79.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
West Deane Park,west-deane-park,Park,,,,43.67,-79.56,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
London Public Library - Carson,london-public-library-carson,Library,,,465 Quebec Street,42.99,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Evergreen Heights Park,evergreen-heights-park,Park,,,,42.83,-80.31,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Golden Garden Park,golden-garden-park,Park,,,,42.83,-80.31,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
York Boulevard Parkette #3,york-boulevard-parkette-3,Park,,,324 York Boulevard,43.26,-79.88,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ann Tindal Park,ann-tindal-park,Park,,,,43.64,-79.38,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Spadina Quay Wetland,spadina-quay-wetland,Park,,,,43.64,-79.39,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Art Gallery of Ontario,art-gallery-of-ontario-toronto,Museum,,Toronto,317 Dundas Street West,43.65,-79.39,https://ago.ca/,+1 416-979-6648,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Elder Park,elder-park-kingston,Park,,Kingston,388 Mack Street,44.23,-76.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
McIntosh Art Gallery,mcintosh-art-gallery,Community Centre,,,,43.01,-81.27,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Taylor Library,taylor-library,Library,,,,43.01,-81.27,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Brubacher House,brubacher-house,Museum,,,,43.48,-80.55,https://uwaterloo.ca/brubacher-house,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Forest Heights,forest-heights-kitchener,Park,,Kitchener,1700 Queen's Boulevard,43.43,-80.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Starview Crescent Park,starview-crescent-park-guelph,Park,,Guelph,70 Starview Crescent,43.57,-80.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Victoria Hills Community Centre,victoria-hills-community-centre-kitchener,Community Centre,,Kitchener,10 Chopin Drive,43.44,-80.52,https://www.kitchener.ca/en/recreation-and-sports/victoria-hills-community-centre.aspx,+1-519-741-2717,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Montgomery Park,montgomery-park-kitchener,Park,,Kitchener,135 Montgomery Road,43.44,-80.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Odessa Park,odessa-park,Park,,,,42.95,-81.27,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Oxford Street Park,oxford-street-park-kitchener,Park,,Kitchener,291 Oxford Street,43.47,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Forfar Park,forfar-park-kitchener,Park,,Kitchener,80 Forfar Avenue,43.46,-80.45,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Idlewood Park,idlewood-park,Park,,,,43.44,-80.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Living Arts Centre,living-arts-centre-mississauga,Community Centre,,Mississauga,4141 Living Arts Drive,43.59,-79.65,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Carling Heights Optimist Community Park,carling-heights-optimist-community-park,Park,,,,43.00,-81.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Mackenzie Printery & Newspaper Museum,mackenzie-printery-newspaper-museum-queenston,Museum,,Queenston,1 Queenston Street,43.16,-79.05,https://www.niagaraparks.com/visit/heritage/mackenzie-printery/,+1-905-262-5676,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dunvegan Parkette,dunvegan-parkette,Park,,,160 Dunvegan Road,43.70,-79.41,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Mornington Park,mornington-park,Park,,,,43.00,-81.22,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Northfield Pond,northfield-pond-waterloo,Park,,Waterloo,165 Frobisher Drive,43.51,-80.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Alpine Park,alpine-park-kitchener,Park,,Kitchener,175 Kingswood Drive,43.42,-80.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
M.H. Stiles Park,m-h-stiles-park-newmarket,Park,,Newmarket,355 Main Street North,44.07,-79.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Amos Wright Park,amos-wright-park,Park,,,,43.88,-79.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
London Public Library - East London,london-public-library-east-london,Library,,,2016 Dundas Street,43.01,-81.17,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Morgan Park,morgan-park-kitchener,Park,,Kitchener,325 Morgan Avenue,43.43,-80.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hart Green,hart-green-kitchener,Park,,Kitchener,274 Hartwood Avenue,43.47,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gildner Green,gildner-green-kitchener,Park,,Kitchener,29 Eden Avenue,43.45,-80.52,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Centreville Chicopee Community Centre,centreville-chicopee-community-centre,Community Centre,,,141 Morgan Avenue,43.43,-80.43,https://www.kitchener.ca/en/recreation-and-sports/centreville-chicopee-community-centre.aspx,+1-519-741-2490,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Detweiler Park,detweiler-park-kitchener,Park,,Kitchener,471 Westforest Trail,43.43,-80.54,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Greenway,greenway,Park,,,,43.45,-80.44,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Wilson Park,wilson-park-kitchener,Park,,Kitchener,72 Wilson Avenue,43.43,-80.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Vanier Park,vanier-park-kitchener,Park,,Kitchener,329 Vanier Drive,43.42,-80.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Insmill Park,insmill-park,Park,,,67 Insmill Crescent,45.31,-75.93,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Windale Park,windale-park-kitchener,Park,,Kitchener,76 Windale Crescent,43.42,-80.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lynnvalley Park,lynnvalley-park-kitchener,Park,,Kitchener,26 Lynnvalley Crescent,43.44,-80.54,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Veterans' Greenway,veterans-greenway,Park,,,,43.44,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lake Aquitaine Park,lake-aquitaine-park,Park,,,,43.59,-79.75,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Carlyle Park,carlyle-park,Park,,,,43.39,-80.45,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Plumtree Park,plumtree-park,Park,,,,43.58,-79.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rittenhouse Park,rittenhouse-park-kitchener,Park,,Kitchener,345 Rittenhouse Road,43.41,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Countryside Park,countryside-park-kitchener,Park,,Kitchener,175 Countryside Crescent,43.41,-80.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Country Hills Park,country-hills-park,Park,,,,43.41,-80.47,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ken Seiling Waterloo Region Museum,ken-seiling-waterloo-region-museum,Museum,,,,43.40,-80.44,https://regionofwaterloomuseums.ca/en/visit/ken-seiling-waterloo-region-museum.aspx,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Doon Heritage Village,doon-heritage-village,Museum,,,10 Huron Road,43.40,-80.44,https://www.waterlooregionmuseum.ca,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Cardinal Carter Library,cardinal-carter-library,Library,,,,43.01,-81.26,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bayview Parkette,bayview-parkette,Park,,,,43.86,-79.41,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gapper Park,gapper-park,Park,,,,43.86,-79.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Kiwanis Park,kiwanis-park-kitchener,Park,,Kitchener,1000 Kiwanis Park Drive,43.50,-80.47,https://www.kitchener.ca/en/pools-and-swimming/kiwanis-park-and-pool.aspx,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Goulding Community Centre,goulding-community-centre-north-york,Community Centre,,North York,45 Goulding Avenue,43.79,-79.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Yellow Birch Park,yellow-birch-park-kitchener,Park,,Kitchener,135 Yellow Birch Drive,43.41,-80.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Streetsville Memorial Park,streetsville-memorial-park,Park,,,,43.58,-79.71,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
River Grove Park,river-grove-park,Park,,,,43.59,-79.71,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Joe Sam's Leisure Park,joe-sam-s-leisure-park,Park,,,,43.35,-79.91,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Pinerow,pinerow,Park,,,,43.45,-80.57,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bayview Hill Park,bayview-hill-park,Park,,,,43.87,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
McNabb Park,mcnabb-park,Park,,,435 Bronson Avenue,45.41,-75.70,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Brewmeister Green,brewmeister-green-waterloo,Park,,Waterloo,155 King Street South,43.46,-80.52,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Market Green,market-green,Park,,,,43.45,-80.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Mount Albert Community Centre,mount-albert-community-centre-east-gwillimbury,Community Centre,,East Gwillimbury,,44.14,-79.31,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Newtonbrook Park,newtonbrook-park,Park,,,,43.79,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Duke Street Playground,duke-street-playground,Park,,,,43.46,-80.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Thorndale Park,thorndale-park,Park,,,,43.45,-80.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ruskin Park,ruskin-park,Park,,,,43.00,-81.29,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jesse Davidson Park,jesse-davidson-park,Park,,,,42.95,-81.28,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Veterans' Green,veterans-green-waterloo,Park,,Waterloo,50 University Avenue West,43.48,-80.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Athletic Park,athletic-park,Park,,,,42.78,-81.20,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Sam Cancilla Park,sam-cancilla-park-barrie,Park,,Barrie,151 Dunlop Street East,44.39,-79.68,https://www.barrie.ca/Living/ParksTrails/Parks/Pages/Parks-Listing.aspx,+1-705-726-4242,servicebarrie@barrie.ca,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Heritage Park,heritage-park-barrie,Park,,Barrie,5 Simcoe Street,44.39,-79.69,https://www.barrie.ca/Living/ParksTrails/Parks/Pages/Parks-Listing.aspx,+1-705-726-4242,servicebarrie@barrie.ca,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
