name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified
Professor's Lake Park,professors-lake-park,Park,,Brampton,,43.7439257,-79.7378074,,,,,,,,,,,,
Rockwood Village Park,rockwood-village-park,Park,,Mississauga,,43.633313,-79.5959945,,,,,,,,,,,,
Bough Beeches Park,bough-beeches-park,Park,,Mississauga,,43.6363557,-79.6009294,,,,,,,,,,,,
Woodcreek Park,woodcreek-park,Park,,Mississauga,,43.642237,-79.5960252,,,,,,,,,,,,
Monora Park,monora-park,Park,,Mono,,43.9378685,-80.1080157,,,,,,,,,,,,
Seaton Park,seaton-park-toronto,Park,,Toronto,14 Albany Avenue,43.6659086,-79.4105531,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=388,,,,,,,,,,,
West Birkdale Park,west-birkdale-park,Park,,Toronto,,43.7657891,-79.2722955,,,,,,,,,,,,
Moorehead Park,moorehead-park,Park,,Brampton,,43.7242878,-79.7789676,,,,,,,,,,,,
Winterfold Park,winterfold-park,Park,,Brampton,,43.7149803,-79.7719968,,,,,,,,,,,,
Mosswood Park,mosswood-park,Park,,Brampton,,43.7178888,-79.7687031,,,,,,,,,,,,
North Mill Parkette,north-mill-parkette,Park,,Brampton,,43.689362,-79.771998,,,,,,,,,,,,
Evans Park,evans-park,Park,,Aurora,,43.9804183,-79.4389075,,,,,,,,,,,,
Kempton Howard Park,kempton-howard-park-toronto,Park,,Toronto,150 Blake Street,43.6758362,-79.3403153,https://www.toronto.ca/data/parks/prd/facilities/complex/1077/index.html,,,,,,,,,,,
EveryKidsPark,everykidspark,Park,,Orangeville,,43.9089681,-80.0982075,,,,,,,,,,,,
Maywood Park,maywood-park,Park,,Orangeville,,43.9284863,-80.1044902,,,,,,,,,,,,
Deer Valley Park,deer-valley-park-oshawa,Park,,Oshawa,870 Deer Valley Drive,43.9152247,-78.9070982,,,,,,,,,,,,
Carson Park,carson-park,Park,,Whitby,,43.964054,-78.9531623,,,,,,,,,,,,
Mother Teresa Park,mother-teresa-park,Park,,Orangeville,,43.929412,-80.1154394,,,,,,,,,,,,
Brooklin Memorial Park,brooklin-memorial-park,Park,,Whitby,,43.9529486,-78.9545825,,,,,,,,,,,,
Brick by Brick Park,brick-by-brick-park-oshawa,Park,,Oshawa,101 John Street West,43.8920639,-78.8665025,,,,,,,,,,,,
Petrie Island Park,petrie-island-park,Park,,Ottawa,727 Trim Road,45.4993097,-75.5013602,,,,,,,,,,,,
Westbrook Park,westbrook-park,Park,,Oakville,,43.3922193,-79.7208656,,,,,,,,,,,,
Pinery Park,pinery-park,Park,,Oakville,1439 Pinery Crescent,43.4990217,-79.6954526,,,,,,,,,,,,
Divine Park,divine-park,Park,,Oshawa,,43.9160832,-78.9101204,,,,,,,,,,,,
Eric Clarke Park,eric-clarke-park,Park,,Whitby,,43.9112062,-78.9109197,,,,,,,,,,,,
Moccasin Trail Park,moccasin-trail-park,Park,,Toronto,,43.7322498,-79.3383522,,,,,,,,,,,,
Greenbelt Park,greenbelt-park-north-york,Park,,North York,25 Jessie Drive,43.7305113,-79.3341773,,,,,,,,,,,,
Skyway Park,skyway-park,Park,,Burlington,,43.3690557,-79.7339319,,,,,,,,,,,,
Hillsburgh Park,hillsburgh-park,Park,,Erin,,43.7930431,-80.1433695,,,,,,,,,,,,
North Dufferin Community Centre,north-dufferin-community-centre-mulmur,Community Centre,,Mulmur,706114 County Road 21,44.221635,-80.1894413,,,,,,,,,,,,
Kiloran Park,kiloran-park-vaughan,Park,,Vaughan,300 Wycliffe Avenue,43.8069207,-79.5945363,,,,,,,,,,,,
Laurelwood Park,laurelwood-park,Park,,Oakville,,43.4814942,-79.704195,,,,,,,,,,,,
Carrville Park,carrville-park,Park,,Richmond Hill,,43.8501801,-79.4562724,,,,,,,,,,,,
Civic Park,civic-park-maple,Park,,Maple,299 Marlott Road,43.8540843,-79.5076581,,,,,,,,,,,,
Mearns Park,mearns-park-bowmanville,Park,,Bowmanville,45 Barley Mill Crescent,43.9184839,-78.6696241,,,,,,,,,,,,
Monticello Park,monticello-park,Park,,Richmond Hill,,43.9135948,-79.4450054,,,,,,,,,,,,
Knights of Columbus Park,knights-of-columbus-park-oshawa,Park,,Oshawa,137 Farewell Street,43.9007948,-78.8349885,,,,,,,,,,,,
Thornecliffe Park,thornecliffe-park,Park,,,45 Provender Avenue,45.4489708,-75.6279189,,,,,,,,,,,,
Loyalist Park,loyalist-park,Park,,Loyalist,,44.184119,-76.7744612,,,,,,,,,,,,
Portsmouth Soccer Fields,portsmouth-soccer-fields,Park,,Kingston,,44.225764,-76.5222977,,,,,,,,,,,,
North Fred Sports Complex,north-fred-sports-complex,Park,,Greater Napanee,1208 County Road 8,44.2090202,-76.898545,,,,,,,,,,,,
Rodden Park,rodden-park,Park,,Kingston,111 Norman Rogers Drive,44.2331622,-76.5183356,,,,,,,,,,,,
Dinosaur Park,dinosaur-park,Park,,Loyalist,,44.2235765,-76.6476149,,,,,,,,,,,,
Smithfield Crescent Park,smithfield-crescent-park,Park,,Kingston,,44.2490855,-76.5326807,,,,,,,,,,,,
Napanee Fairgrounds Sports Complex,napanee-fairgrounds-sports-complex-napanee,Park,,Napanee,170 York Street,44.2444797,-76.9653631,,,,,,,,,,,,
W. J. Henderson Community Centre,w-j-henderson-community-centre-township-of-loyalist,Community Centre,,Township of Loyalist,322 Amherst Drive,44.2254745,-76.6577043,https://www.loyalisttownship.ca/index.cfm/residents/recreation/arena/,+1-613-389-3648,,,,,,,,,,
YMCA,ymca-kingston,Community Centre,,Kingston,,44.2399375,-76.5173365,,,,,,,,,,,,
Loughborough Memorial Park,loughborough-memorial-park,Park,,South Frontenac,,44.4107599,-76.5929258,,,,,,,,,,,,
Toronto Public Library - Sanderson,toronto-public-library---sanderson-toronto,Library,,Toronto,327 Bathurst Street,43.6521007,-79.405463,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB085,,,,,,,,,,,
Dixon Hall,dixon-hall-toronto,Community Centre,,Toronto,188 Carlton Street,43.6637046,-79.3719254,https://dixonhall.org,,,,,,,,,,,
Des Pionniers Park,des-pionniers-park,Park,,Ottawa,1880 Carrigan Drive,45.4723074,-75.4810381,,,,,,,,,,,,
Comdel Park,comdel-park,Park,,Vaughan,,43.8306982,-79.5538896,,,,,,,,,,,,
Komura Road Park,komura-road-park,Park,,Vaughan,140 Komura Road,43.8322751,-79.5441666,,,,,,,,,,,,
Maple District Park,maple-district-park,Park,,Vaughan,101 McNaughton Road,43.8592254,-79.5166754,,,,,,,,,,,,
Ramsey Armitage Park,ramsey-armitage-park-maple,Park,,Maple,8 Merino Road,43.85031,-79.5132545,,,,,,,,,,,,
Old Colony Park,old-colony-park,Park,,Kingston,,44.2533449,-76.5833843,,,,,,,,,,,,
W.C. Bowes Park,wc-bowes-park,Park,,Ottawa,1251 Halton Terrace,45.3513799,-75.9415954,,,,,,,,,,,,
Kingston Frontenac Public Library - Pittsburgh Branch,kingston-frontenac-public-library---pittsburgh-branch-kingston,Library,,Kingston,80 Gore Road,44.259578,-76.461128,https://www.kfpl.ca/hours-and-locations/pittsburgh-branch,+1-613-542-8222,,,,,,,,,,
Markham Wesley Centre,markham-wesley-centre-markham,Community Centre,,Markham,22 Esna Park Drive,43.8282614,-79.3486109,https://www.markhamwesley.com,+1-905-940-3688,info@markhamwesley.com,,,,,,,,,
105 Gibson Centre,105-gibson-centre-markham,Community Centre,,Markham,105 Gibson Drive,43.822685,-79.3285995,https://105gibson.wordpress.com/,,,,,,,,,,,
Whipper Watson Park,whipper-watson-park,Park,,Newmarket,475 Clearmeadow Boulevard,44.0371724,-79.4972332,,,,,,,,,,,,
James Lloyd Park,james-lloyd-park,Park,,Aurora,,43.9945309,-79.4474364,,,,,,,,,,,,
Harrington Park,harrington-park,Park,,Richmond Hill,,43.9073446,-79.4335593,,,,,,,,,,,,
French Royalist Park,french-royalist-park,Park,,Richmond Hill,,43.91043,-79.4575024,,,,,,,,,,,,
New Lowell Recreation Park,new-lowell-recreation-park,Park,,,,44.3602418,-79.9716902,,,,,,,,,,,,
Tyndale Park,tyndale-park,Park,,Barrie,,44.3740467,-79.644021,,,,,,,,,,,,
Assikinack Park,assikinack-park,Park,,Barrie,,44.3656879,-79.6716952,,,,,,,,,,,,
Tollendal Woods Park,tollendal-woods-park-barrie,Park,,Barrie,40 Royal Oak Drive,44.3752312,-79.6538733,,,,,,,,,,,,
Sunnidale Park,sunnidale-park,Park,,Barrie,,44.3975061,-79.7083367,,,,,,,,,,,,
Kearsey Park,kearsey-park,Park,,Barrie,,44.395426,-79.710163,,,,,,,,,,,,
Redpath Park,redpath-park,Park,,Barrie,,44.4044742,-79.6989523,,,,,,,,,,,,
Archie Goodall Park,archie-goodall-park,Park,,Barrie,,44.3989701,-79.6806825,,,,,,,,,,,,
College Heights Park,college-heights-park,Park,,Barrie,,44.4086811,-79.6708047,,,,,,,,,,,,
St Vincent Park,st-vincent-park,Park,,Barrie,,44.3921203,-79.6730897,,,,,,,,,,,,
Skopit Park,skopit-park,Park,,Richmond Hill,,43.8920058,-79.4250847,,,,,,,,,,,,
Unity Park,unity-park,Park,,Richmond Hill,,43.8758155,-79.4311344,,,,,,,,,,,,
Pearson Park,pearson-park-st-catharines,Park,,St. Catharines,352 Niagara Street,43.1820987,-79.2249891,https://facilities.stcatharines.ca/Home/Detail?Id=6f41771c-93f7-4f09-9365-92432732a638,,,,,,,,,,,
Pic Leeson Park,pic-leeson-park,Park,,St. Catharines,,43.1514538,-79.1993821,,,,,,,,,,,,
Island Court Parkette,island-court-parkette,Park,,Orangeville,,43.9249448,-80.1081339,,,,,,,,,,,,
Timberbank Park,timberbank-park,Park,,Toronto,,43.7946526,-79.3081791,,,,,,,,,,,,
Bella Vista Park,bella-vista-park-mississauga,Park,,Mississauga,26 Hanson Road,43.5859508,-79.6265186,,,,,,,,,,,,
Schaefer Park,schaefer-park,Park,,Kitchener,75 Bloomingdale Road,43.4828182,-80.4742644,,,,,,,,,,,,
Thorah Centennial Park,thorah-centennial-park,Park,,Brock,,44.4677681,-79.1588641,,,,,,,,,,,,
Balmoral Park,balmoral-park,Park,,Aylmer,,42.7740171,-80.9836214,,,,,,,,,,,,
Optimist/Kinsmen Park,optimistkinsmen-park,Park,,Aylmer,,42.7752668,-80.9876196,,,,,,,,,,,,
Willow Beach Park,willow-beach-park,Park,,Georgina,,44.3110612,-79.4247358,,,,,,,,,,,,
Fairgrounds Park,fairgrounds-park-newmarket,Park,,Newmarket,,44.0539455,-79.4482058,,,,,,,,,,,,
East Gwillimbury Sports Complex,east-gwillimbury-sports-complex,Park,,Sharon,,44.1073932,-79.4268523,,,,,,,,,,,,
Taylor Walter Park,taylor-walter-park,Park,,Uxbridge,,44.0342928,-79.2027359,,,,,,,,,,,,
"Whitchurch-Stouffville Community Park, Vandorf",whitchurch-stouffville-community-park-vandorf,Park,,Whitchurch-Stouffville,,44.0018606,-79.393905,,,,,,,,,,,,
Queensville Community Centre,queensville-community-centre,Park,,East Gwillimbury,,44.1401391,-79.4489182,,,,,,,,,,,,
West Park,west-park,Park,,East Gwillimbury,,44.1918347,-79.4758467,,,,,,,,,,,,
Ballantrae Community Centre and Sports Fields,ballantrae-community-centre-and-sports-fields,Park,,Whitchurch-Stouffville,,44.0413324,-79.2864405,,,,,,,,,,,,
Treleaven Park,treleaven-park,Park,,Brampton,,43.6762079,-79.7561486,,,,,,,,,,,,
Woodview Park,woodview-park,Park,,Brampton,,43.6722911,-79.7609398,,,,,,,,,,,,
Agincourt Community Centre,agincourt-community-centre-toronto,Community Centre,,Toronto,31 Glen Watford Drive,43.7884775,-79.275761,,,,,,,,,,,,
Foxwood,foxwood,Park,,Uxbridge,,44.1057141,-79.10087,,,,,,,,,,,,
Sherwood Forest,sherwood-forest-markham,Park,,Markham,51 Henry Corson Place,43.8771541,-79.2365552,,,,,,,,,,,,
Brechin Community Centre Park,brechin-community-centre-park,Park,,Ramara Township,,44.5453022,-79.1790172,,,,,,,,,,,,
Morningstar park,morningstar-park,Park,,Orillia,,44.5914834,-79.4436348,,,,,,,,,,,,
Sablewood Park,sablewood-park,Park,,Markham,,43.861157,-79.3288014,,,,,,,,,,,,
Crofters Park,crofters-park-vaughan,Park,,Vaughan,225 Crofters Road,43.812764,-79.6008061,,,,,,,,,,,,
Treverton Park,treverton-park-scarborough,Park,,Scarborough,20A Oakworth Crescent,43.7362112,-79.2683324,,,,,,,,,,,,
Mooregate Tot Lot,mooregate-tot-lot,Park,,Toronto,,43.7407778,-79.2687485,,,,,,,,,,,,
Bishop Park,bishop-park-elmvale,Park,,Elmvale,50 Amelia Street,44.5849971,-79.8746138,,,,,,,,,,,,
Waverley Park,waverley-park,Park,,Tay,,44.6431187,-79.82212,,,,,,,,,,,,
Tiffin Park,tiffin-park,Park,,Midland,,44.7485937,-79.8666591,,,,,,,,,,,,
Orr Lake Park,orr-lake-park,Park,,Springwater,,44.6050693,-79.7916276,,,,,,,,,,,,
Milliken Mills,milliken-mills,Park,,Markham,,43.8396899,-79.3092467,,,,,,,,,,,,
Milliken Mills Community Centre,milliken-mills-community-centre-markham,Community Centre,,Markham,7600 Kennedy Road,43.8402094,-79.3054895,,,,,,,,,,,,
Glenbrae Park,glenbrae-park,Park,,Richmond Hill,,43.8696279,-79.4186723,,,,,,,,,,,,
Horner Park,horner-park-richmond-hill,Park,,Richmond Hill,190 Strathearn Avenue,43.872405,-79.4117241,,,,,,,,,,,,
Southview Parkette,southview-parkette,Park,,Richmond Hill,,43.8580344,-79.4116362,,,,,,,,,,,,
Walter Saunders Memorial Park,walter-saunders-memorial-park,Park,,Toronto,,43.7003344,-79.4460604,,,,,,,,,,,,
Toronto Public Library - York Woods,toronto-public-library---york-woods-north-york,Library,,North York,1785 Finch Avenue West,43.758868,-79.5073225,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB019,,,,,,,,,,,
Driftwood Community Centre,driftwood-community-centre-north-york,Community Centre,,North York,4401 Jane Street,43.7653673,-79.5187376,,,,,,,,,,,,
Living Arts Park,living-arts-park,Park,,Mississauga,,43.5901145,-79.6455293,,,,,,,,,,,,
Grace Lawrence Parkette,grace-lawrence-parkette,Park,,Richmond Hill,,43.8487085,-79.4300487,,,,,,,,,,,,
Sussex Park,sussex-park,Park,,Richmond Hill,,43.8808244,-79.4251111,,,,,,,,,,,,
Baif Park,baif-park,Park,,Richmond Hill,,43.8583382,-79.4389016,,,,,,,,,,,,
Richvale Community Centre & Pool,richvale-community-centre-pool-richmond-hill,Community Centre,,Richmond Hill,160 Avenue Road,43.8535275,-79.4459337,,,,,,,,,,,,
Coboconk & District Lions Park,coboconk-district-lions-park,Park,,Kawartha Lakes,,44.6593814,-78.8004992,,,,,,,,,,,,
Fenelon Falls Fairground,fenelon-falls-fairground,Park,,Kawartha Lakes,,44.5317816,-78.7445242,,,,,,,,,,,,
Ward Memorial Park,ward-memorial-park,Park,,Kawartha Lakes,,44.7382398,-78.8294121,,,,,,,,,,,,
Annie Williams Park,annie-williams-park,Park,,Bracebridge,,45.0294718,-79.3188436,,,,,,,,,,,,
Halldorson Park,halldorson-park,Park,,Brampton,,43.6726472,-79.7213095,,,,,,,,,,,,
Prescott Parkette,prescott-parkette,Park,,Burlington,,43.4009108,-79.7961038,,,,,,,,,,,,
Toronto Public Library - Richview,toronto-public-library---richview-toronto,Library,,Toronto,1806 Islington Avenue,43.6834227,-79.541195,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB016,+1-416-394-5120,,,,,,,,,,
Primrose Avenue Parkette,primrose-avenue-parkette,Park,,Toronto,,43.6715172,-79.4464516,,,,,,,,,,,,
Plast Huculak Centre,plast-huculak-centre-etobicoke,Community Centre,,Etobicoke,516 The Kingsway,43.6734481,-79.5483104,https://www.plast.ca/toronto,+1-416-236-9998,,,,,,,,,,
Green Park,green-park-bowmanville,Park,,Bowmanville,7 Boswell Drive,43.9036554,-78.7106815,,,,,,,,,,,,
Baseline Park,baseline-park-bowmanville,Park,,Bowmanville,2430 Baseline Road,43.8968335,-78.6969461,,,,,,,,,,,,
Confederation South Park,confederation-south-park,Park,,Thorold,,43.1112569,-79.2241655,,,,,,,,,,,,
Lions Lookout Park,lions-lookout-park-gravenhurst,Park,,Gravenhurst,George Street,44.922813,-79.3824029,,,,,,,,,,,,
Gull Lake Rotary Park,gull-lake-rotary-park,Park,,Gravenhurst,,44.919726,-79.367785,,,,,,,,,,,,
Highland Heights Park,highland-heights-park,Park,,Toronto,,43.7954392,-79.2992962,,,,,,,,,,,,
Lynnwood Heights Junior Public School,lynnwood-heights-junior-public-school,Park,,Toronto,50 Southlawn Drive,43.7968821,-79.2912728,https://schoolweb.tdsb.on.ca/lynnwoodheights/,+1-416-396-6430,Lynnwood@tdsb.on.ca,,,,,,,,,
Toronto Public Library - Danforth/Coxwell,toronto-public-library---danforthcoxwell-toronto,Library,,Toronto,1675 Danforth Avenue,43.6836371,-79.3214033,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB035,,,,,,,,,,,
Ajax Community Centre,ajax-community-centre-ajax,Community Centre,,Ajax,75 Centennial Road,43.8392948,-79.0206797,,,,,,,,,,,,
Princess Margaret Park,princess-margaret-park,Park,,Toronto,1297 Kipling Avenue,43.6665804,-79.543336,,,,,,,,,,,,
Jane Street Hub,jane-street-hub,Community Centre,,Toronto,,43.6985605,-79.5019343,,,,,,,,,,,,
Saint Mary's Parish Centre,saint-marys-parish-centre-kingston,Community Centre,,Kingston,260 Brock Street,44.2313616,-76.4889867,,,,,,,,,,,,
"Peel Art Gallery, Museum and Archives",peel-art-gallery-museum-and-archives,Museum,,Brampton,,43.6851465,-79.7573295,https://www.pama.peelregion.ca,,infoPAMA@peelregion.ca,,,,,,,,,
Dean Henderson Park,dean-henderson-park,Park,,Mississauga,,43.533452,-79.659807,,,,,,,,,,,,
Mara Provincial Park,mara-provincial-park,Park,,Ramara Township,,44.5869683,-79.3597068,,,,,,,,,,,,
McRae Point Provincial Park,mcrae-point-provincial-park,Park,,Ramara Township,,44.5708952,-79.3303844,,,,,,,,,,,,
Silverstone Park,silverstone-park,Park,,Toronto,160 Silverstone Drive,43.7521713,-79.5919568,,,,,,,,,,,,
Columbus Parkette,columbus-parkette-toronto,Park,,Toronto,1985 Dundas Street West,43.6509724,-79.4460817,https://www.toronto.ca/data/parks/prd/facilities/complex/226/index.html,,,,,,,,,,,
Haimer Park,haimer-park,Park,,Toronto,,43.7552977,-79.5907084,,,,,,,,,,,,
Gihon Spring Park,gihon-spring-park,Park,,Toronto,,43.7546821,-79.5944895,,,,,,,,,,,,
Toronto Public Library - Lillian H. Smith,toronto-public-library---lillian-h-smith-toronto,Library,,Toronto,239 College Street,43.6579599,-79.3983712,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB011,+1 4163937746,,,,,,,,,,
Milton Fierheller Park,milton-fierheller-park-markham,Park,,Markham,9450 Woodbine Avenue,43.873693,-79.3660834,,,,,,,,,,,,
Hillmount Park,hillmount-park,Park,,Markham,,43.8753473,-79.3731929,,,,,,,,,,,,
Village East Park,village-east-park,Park,,Pickering,,43.8388738,-79.0741618,,,,,,,,,,,,
Upper Madawaska Provincial Park,upper-madawaska-provincial-park,Park,,South Algonquin Township,,45.5157105,-78.1920489,,,,,,,,,,,,
McLean Community Centre,mclean-community-centre-ajax,Community Centre,,Ajax,95 Magill Drive,43.8657738,-79.036623,,,,,,,,,,,,
Fenelon Beach,fenelon-beach,Park,,Kawartha Lakes,,44.5384815,-78.7412042,,,,,,,,,,,,
Tommy Anderson Park,tommy-anderson-park,Park,,Kawartha Lakes,,44.5451563,-78.5476829,,,,,,,,,,,,
Graydon Hall Park,graydon-hall-park,Park,,Toronto,,43.7630272,-79.3423855,,,,,,,,,,,,
Sheridan Woods Park,sheridan-woods-park,Park,,Oakville,,43.4804586,-79.6894014,,,,,,,,,,,,
Rec Centre,rec-centre,Community Centre,,Centre Wellington,,43.7577631,-80.3282176,,,,,,,,,,,,
Fairfield Seniors' Centre,fairfield-seniors-centre-toronto,Community Centre,,Toronto,80 Lothian Avenue,43.6395355,-79.5192505,,,,,,,,,,,,
Silverdale Park,silverdale-park,Park,,St. Catharines,,43.1942226,-79.229423,,,,,,,,,,,,
Grantham Avenue Park,grantham-avenue-park,Park,,St. Catharines,,43.1953659,-79.2222261,,,,,,,,,,,,
Greek Community Centre,greek-community-centre,Community Centre,,St. Catharines,,43.2000534,-79.2232877,,,,,,,,,,,,
Port Weller Community Centre,port-weller-community-centre-st-catharines,Community Centre,,St. Catharines,1 Bogart Street,43.218859,-79.220241,,,,,,,,,,,,
Al Green Sculpture Park,al-green-sculpture-park,Park,,Toronto,,43.6982359,-79.3942401,,,,,,,,,,,,
Paul Kane House Parkette,paul-kane-house-parkette-toronto,Park,,Toronto,56 Wellesley Street East,43.6657796,-79.3821827,,,,,,,,,,,,
The 519,the-519,Community Centre,,Toronto,519 Church Street,43.6665123,-79.3808937,https://www.the519.org/,+1-416-392-6874,,,,,,,,,,
Kingston Frontenac Public Library - Calvin Park Branch,kingston-frontenac-public-library---calvin-park-branch-kingston,Library,,Kingston,88 Wright Crescent,44.2386935,-76.5176605,,,,,,,,,,,,
Duncan Creek Park,duncan-creek-park,Park,,Toronto,,43.8062321,-79.3616414,,,,,,,,,,,,
Edward Scarlett Park,edward-scarlett-park,Park,,Mississauga,,43.6713007,-79.6652141,,,,,,,,,,,,
Sturgeon Bay Provincial Park,sturgeon-bay-provincial-park,Park,,The Archipelago Township,,45.6235336,-80.4157666,https://www.ontarioparks.com/park/sturgeonbay,,,,,,,,,,,
Harbourview Park,harbourview-park,Park,,Midland,,44.7569908,-79.8805751,,,,,,,,,,,,
Penetanguishene Rotary Park,penetanguishene-rotary-park,Park,,Penetanguishene,,44.7687679,-79.9411096,,,,,,,,,,,,
Sunset Beach Park,sunset-beach-park,Park,,Muskoka Lakes Township,,44.9971815,-79.5722887,,,,,,,,,,,,
Toanche Park,toanche-park-township-of-tiny,Park,,Township of Tiny,771 Champlain Road,44.8157961,-79.9513801,,,,,,,,,,,,
Richmond Park,richmond-park,Park,,Toronto,,43.8126127,-79.2637989,,,,,,,,,,,,
Beaverton Thoran Community Centre,beaverton-thoran-community-centre,Community Centre,,Brock,,44.430115,-79.161389,,,,,,,,,,,,
Civic Centre,civic-centre,Community Centre,,Georgina,,44.2962984,-79.4361818,,,,,,,,,,,,
The Link,the-link-georgina,Community Centre,,Georgina,20849 Dalton Road,44.306249,-79.362649,,,,,,,,,,,,
Gowan Memorial Park,gowan-memorial-park,Park,,Clearview,,44.3242319,-80.101332,,,,,,,,,,,,
RecPlex,recplex,Community Centre,,Wasaga Beach,,44.4798542,-80.069169,https://www.wasagabeach.com/town-hall/parks-facilities/recplex,,,,,,,,,,,
Harold Town Park,harold-town-park-toronto,Park,,Toronto,725 Church Street,43.6727607,-79.3862466,https://www.toronto.ca/data/parks/prd/facilities/complex/374/index.html,,,,,,,,,,,
Lord and Lady Martonmere Gardens,lord-and-lady-martonmere-gardens,Park,,Toronto,,43.6590318,-79.3871992,,,,,,,,,,,,
Legion Park,legion-park,Park,,Fort Frances,,48.6107583,-93.4107298,,,,,,,,,,,,
Point Park,point-park,Park,,Fort Frances,,48.6184861,-93.3585885,,,,,,,,,,,,
Toronto Public Library - Deer Park,toronto-public-library---deer-park-toronto,Library,,Toronto,40 St. Clair Avenue East,43.6887341,-79.3924394,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB038,,,,,,,,,,,
Toronto Public Library - Rexdale,toronto-public-library---rexdale-etobicoke,Library,,Etobicoke,2243 Kipling Avenue,43.7261266,-79.5732191,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB079,+1-416-394-5200,,,,,,,,,,
Wychwood Barns Park,wychwood-barns-park-toronto,Park,,Toronto,76 Wychwood Avenue,43.6797963,-79.4237079,https://www.toronto.ca/data/parks/prd/facilities/complex/461/index.html,,,,,,,,,,,
Port Carling Lions Park,port-carling-lions-park,Park,,Muskoka Lakes Township,,45.1271048,-79.5853677,,,,,,,,,,,,
Finch Parkette,finch-parkette,Park,,Toronto,,43.7803776,-79.4141632,,,,,,,,,,,,
Jaspen Park,jaspen-park,Park,,Muskoka Lakes Township,,45.0113793,-79.6182751,,,,,,,,,,,,
Shelburne Curling Club,shelburne-curling-club-shelburne,Community Centre,,Shelburne,110 O'Flynn Street,44.0843212,-80.2056309,www.shelburnecurling.ca,,,,,,,,,,,
Acres Park,acres-park,Park,,Ottawa,2193 East Acres Road,45.4471613,-75.5890035,,,,,,,,,,,,
Cumming Park,cumming-park,Park,,Barrie,,44.3468123,-79.716167,,,,,,,,,,,,
Oak Street Park,oak-street-park,Park,,Kingston,,44.2480401,-76.5051176,,,,,,,,,,,,
Christie Street Baptist Church,christie-street-baptist-church,Community Centre,,Toronto,,43.6682886,-79.4197415,,,,,,,,,,,,
St. Anthony's Park,st-anthonys-park,Park,,London,,42.9617872,-81.3164091,,,,,,,,,,,,
Harriston Arena,harriston-arena,Community Centre,,Harrison,,43.9136795,-80.8645437,,,,,,,,,,,,
Victory Community Centre,victory-community-centre,Community Centre,,Wellington North,,43.9829514,-80.7298359,,,,,,,,,,,,
Palmerston & District Community Centre,palmerston-district-community-centre,Community Centre,,Palmerston,,43.8265303,-80.8493117,,,,,,,,,,,,
Sprucewood Park,sprucewood-park,Park,,Markham,,43.8117143,-79.4063483,,,,,,,,,,,,
Lion's Head & District Community Centre,lions-head-district-community-centre,Community Centre,,Lion's Head,,44.9819644,-81.2534936,,,,,,,,,,,,
Walter's Falls Community Centre,walters-falls-community-centre,Community Centre,,Chatsworth,,44.4872747,-80.7063529,,,,,,,,,,,,
Marcel Lalande Park,marcel-lalande-park,Park,,Ottawa,2157 Northlands Drive,45.4710598,-75.4732044,,,,,,,,,,,,
Lion's Head Provincial Nature Reserve,lions-head-provincial-nature-reserve,Park,,Municipality of Northern Bruce Peninsula,,45.008709,-81.2213237,,,,,,,,,,,,
Inverhuron Provincial Park,inverhuron-provincial-park,Park,,Kincardine,,44.3018227,-81.5926697,,,,,,,,,,,,
Ira Lake Provincial Nature Reserve,ira-lake-provincial-nature-reserve,Park,,Municipality of Northern Bruce Peninsula,,45.0400427,-81.3647672,,,,,,,,,,,,
Fay Avenue Park,fay-avenue-park,Park,,Hamilton,,43.2213256,-79.824577,,,,,,,,,,,,
Hyde Park Woods,hyde-park-woods,Park,,London,,42.9704118,-81.3173827,,,,,,,,,,,,
Naomee Park,naomee-park,Park,,London,,42.9664705,-81.327409,,,,,,,,,,,,
Cedarbrae Park,cedarbrae-park,Park,,Mississauga,565 Lolita Gardens,43.5935198,-79.6063571,https://www.mississauga.ca/events-and-attractions/parks/cedarbrae-park/,,,,,,,,,,,
Shenkman Arts Centre,shenkman-arts-centre-ottawa,Community Centre,,Ottawa,245 Centrum Boulevard,45.480656,-75.511338,https://shenkmanarts.ca/,,,,,,,,,,,
Walsh Crescent Park,walsh-crescent-park,Park,,Orangeville,,43.9265413,-80.1104571,,,,,,,,,,,,
Gatehouse Parkette,gatehouse-parkette-courtice,Park,,Courtice,30 Turnberry Crescent,43.8928848,-78.804467,,,,,,,,,,,,
Lundy Park,lundy-park-markham,Park,,Markham,7 Rockingham Court,43.8219078,-79.3761606,,,,,,,,,,,,
Cottonwood Park,cottonwood-park-markham,Park,,Markham,30 Cottonwood Court,43.8197466,-79.380033,,,,,,,,,,,,
Watters Park,watters-park,Park,,Ottawa,841 Clearcrest Crescent,45.4797179,-75.4817284,,,,,,,,,,,,
